[[X: 1.515586, Y: 1.248447, Z: -0.358603],[U: 0.5, V: 0.5],[X: 0.0322, Y: -0.2225, Z: -0.9744]]
[[X: 0.966234, Y: 1.885028, Z: 0.061509],[U: 0.5, V: 0.5],[X: 0.0733, Y: 0.1455, Z: 0.9866]]
[[X: 0.680573, Y: 1.85384, Z: 0.087343],[U: 0.5, V: 0.5],[X: 0.0733, Y: 0.1455, Z: 0.9866]]
[[X: 0.93429, Y: 1.684042, Z: 0.093524],[U: 0.5, V: 0.5],[X: 0.0733, Y: 0.1455, Z: 0.9866]]
[[X: 1.618247, Y: 0.843815, Z: -0.268671],[U: 0.5, V: 0.5],[X: -0.0023, Y: -0.2141, Z: -0.9768]]
[[X: 1.493678, Y: 1.001006, Z: -0.302828],[U: 0.5, V: 0.5],[X: -0.0023, Y: -0.2141, Z: -0.9768]]
[[X: 1.68217, Y: 1.048918, Z: -0.313771],[U: 0.5, V: 0.5],[X: -0.0023, Y: -0.2141, Z: -0.9768]]
[[X: 1.805283, Y: 0.876347, Z: -0.28141],[U: 0.5, V: 0.5],[X: 0.7147, Y: 0.4026, Z: -0.5719]]
[[X: 1.68217, Y: 1.048918, Z: -0.313771],[U: 0.5, V: 0.5],[X: 0.7147, Y: 0.4026, Z: -0.5719]]
[[X: 1.790454, Y: 1.078038, Z: -0.157945],[U: 0.5, V: 0.5],[X: 0.7147, Y: 0.4026, Z: -0.5719]]
[[X: 1.790454, Y: 1.078038, Z: -0.157945],[U: 0.5, V: 0.5],[X: 0.7137, Y: 0.5729, Z: 0.403]]
[[X: 1.706544, Y: 1.065263, Z: 0.008824],[U: 0.5, V: 0.5],[X: 0.7137, Y: 0.5729, Z: 0.403]]
[[X: 1.831286, Y: 0.891163, Z: 0.035416],[U: 0.5, V: 0.5],[X: 0.7137, Y: 0.5729, Z: 0.403]]
[[X: 1.706544, Y: 1.065263, Z: 0.008824],[U: 0.5, V: 0.5],[X: 0.0103, Y: 0.184, Z: 0.9829]]
[[X: 1.518052, Y: 1.017351, Z: 0.019767],[U: 0.5, V: 0.5],[X: 0.0103, Y: 0.184, Z: 0.9829]]
[[X: 1.64425, Y: 0.858631, Z: 0.048155],[U: 0.5, V: 0.5],[X: 0.0103, Y: 0.184, Z: 0.9829]]
